Game ID,Home Team,Away Team,Date,Time
f1a0fe9a-aeab-437c-a104-41536e2965e5,Dallas Mavericks,Sacramento Kings,2023-11-19,20:30
300be9ce-df8b-47fd-9c2b-7dfbfb125c6a,Utah Jazz,Phoenix Suns,2023-11-19,21:00
9d294126-5a27-4ed4-8fed-e17a5fdb117d,Memphis Grizzlies,Boston Celtics,2023-11-19,21:00
77dae9b5-0b25-43b8-9a01-c8aa882d0215,Portland Trail Blazers,Oklahoma City Thunder,2023-11-19,22:00
04f9b88c-3f02-43b4-9c71-3e5f03003e63,Los Angeles Lakers,Houston Rockets,2023-11-19,22:30
12957aed-47ee-404e-b882-087a5196459c,Detroit Pistons,Denver Nuggets,2023-11-20,20:00
740bb720-75ed-41e0-9155-fc92a2d489fd,Charlotte Hornets,Boston Celtics,2023-11-20,20:00
7a43179c-9d9f-4dfe-8492-dbfc68ad6042,Washington Wizards,Milwaukee Bucks,2023-11-20,20:00
4280d3bf-1990-4ae4-8604-0409d876bb94,Minnesota Timberwolves,New York Knicks,2023-11-20,21:00
7bb662d2-6aa5-45c3-b1b0-114f34d409a6,San Antonio Spurs,LA Clippers,2023-11-20,21:00
93e2d591-f00f-48ba-b36f-16ec57f6d9a3,New Orleans Pelicans,Sacramento Kings,2023-11-20,21:00
b261c91d-317f-413d-811d-c5c027cb4617,Chicago Bulls,Miami Heat,2023-11-20,21:00
b72b6fb0-cb28-4437-80d4-21d6f009b165,Golden State Warriors,Houston Rockets,2023-11-20,23:00
75c9da4d-62d3-4869-a8c4-6eb2b3e717d1,Orlando Magic,Toronto Raptors,2023-11-21,20:00
a01da403-5e59-410c-b19f-3b740496d043,Philadelphia 76ers,Cleveland Cavaliers,2023-11-21,20:30
e6c15121-ea18-4cee-91cf-273c9441323b,Atlanta Hawks,Indiana Pacers,2023-11-21,20:30
7988161e-d13f-443c-b700-d099110efcd3,Phoenix Suns,Portland Trail Blazers,2023-11-21,22:00
23968d39-06f3-44dc-87c4-ea1d32cf935d,Los Angeles Lakers,Utah Jazz,2023-11-21,23:00
620d24d5-efc5-4731-83f3-a4bea3f415ab,Charlotte Hornets,Washington Wizards,2023-11-22,20:00
c2cf30a3-2195-43aa-9fc7-b778c1054040,Orlando Magic,Denver Nuggets,2023-11-22,20:00
060f62a8-1a7b-4486-9654-b621049b8447,Boston Celtics,Milwaukee Bucks,2023-11-22,20:30
1f634790-4515-4177-bed5-652c58b2c97f,Cleveland Cavaliers,Miami Heat,2023-11-22,20:30
79e75a08-9c3a-4b67-b0dd-26392abc622a,Indiana Pacers,Toronto Raptors,2023-11-22,20:30
81337a49-e1a8-48f0-a1e1-01d9fb0d0fe9,Atlanta Hawks,Brooklyn Nets,2023-11-22,20:30
4a6a47c7-0e0d-45e0-a04f-ebb89229a25a,Houston Rockets,Memphis Grizzlies,2023-11-22,21:00
54940281-2616-4716-b28f-881da08c1f42,Minnesota Timberwolves,Philadelphia 76ers,2023-11-22,21:00
77dd3a91-26ff-4887-99fb-59b54b93c8e1,New Orleans Pelicans,Sacramento Kings,2023-11-22,21:00
888eccd1-475e-460c-9846-963ec19a421c,San Antonio Spurs,LA Clippers,2023-11-22,21:00
db5662d6-09b7-48b5-a8bc-8b29f68dc0aa,Oklahoma City Thunder,Chicago Bulls,2023-11-22,21:00
6b9b7386-9353-4f29-8d3e-543579a284eb,Portland Trail Blazers,Utah Jazz,2023-11-22,23:00
6d242c69-2f1b-4370-97cd-f529a12b2c6e,Phoenix Suns,Golden State Warriors,2023-11-22,23:00
694a0f35-f4e8-4be0-9e15-d7d102441b50,Los Angeles Lakers,Dallas Mavericks,2023-11-22,23:30
36365712-290d-45bb-8985-3688e11a8fd5,Orlando Magic,Boston Celtics,2023-11-24,15:30
e3d4575e-b5ce-46ea-bb71-4d5e9d41bd3d,Memphis Grizzlies,Phoenix Suns,2023-11-24,18:00
0827e9f7-abdd-40c1-b55f-6c2cf6df542d,New York Knicks,Miami Heat,2023-11-24,20:30
ca81cace-5df7-4e81-9d6d-b325bc17b550,Toronto Raptors,Chicago Bulls,2023-11-24,20:30
0e372643-e6d3-43cb-ab1a-eb952ed98da7,Indiana Pacers,Detroit Pistons,2023-11-24,21:00
1c28b3d6-6763-4d50-8a1b-040136d63ce1,Minnesota Timberwolves,Sacramento Kings,2023-11-24,21:00
1cf6bd55-581f-4365-ad65-6f8bd405c7b7,Milwaukee Bucks,Washington Wizards,2023-11-24,21:00
96723b90-b4df-4d4f-b9c8-3bdd2b98d4cc,Houston Rockets,Denver Nuggets,2023-11-24,21:00
8e7ee4a1-9390-46ca-870f-c8db24a1bdd0,Golden State Warriors,San Antonio Spurs,2023-11-24,23:00
0f6cc7a3-f472-4750-b86e-7370d2b750ad,LA Clippers,New Orleans Pelicans,2023-11-24,23:30
fca9c1d5-2294-4f35-a45a-51e431f085a5,Oklahoma City Thunder,Philadelphia 76ers,2023-11-25,18:00
21c1bec0-f031-47b8-b55a-2b9e7451930c,Brooklyn Nets,Miami Heat,2023-11-25,19:00
d2c4d1b8-47d2-45db-9930-d5f49feb4143,Washington Wizards,Atlanta Hawks,2023-11-25,20:00
6e1e985b-b5f6-413e-9ab3-74754fdcc813,Cleveland Cavaliers,Los Angeles Lakers,2023-11-25,20:30
10f57b64-c06f-47d8-a00e-4567654bec00,Utah Jazz,New Orleans Pelicans,2023-11-25,22:30
bc834487-2ccc-458d-a017-b16ceddcf117,LA Clippers,Dallas Mavericks,2023-11-25,23:30
5b68fc60-aa98-4893-9012-f7f10d3b7930,Milwaukee Bucks,Portland Trail Blazers,2023-11-26,16:30
26e607d6-68f1-42f3-a60b-54ac1f87eef6,Memphis Grizzlies,Minnesota Timberwolves,2023-11-26,19:00
7ec7309c-0dfe-44bb-adb9-7b269a83d723,Orlando Magic,Charlotte Hornets,2023-11-26,19:00
db54696b-d854-438d-aeca-4bef00662cc1,New York Knicks,Phoenix Suns,2023-11-26,19:00
fd7df84b-9002-44dd-a3a5-ce363e9c9b4c,Boston Celtics,Atlanta Hawks,2023-11-26,19:00
13698313-b05b-4a2b-9f29-e0f60e7aa984,Cleveland Cavaliers,Toronto Raptors,2023-11-26,20:30
2ede4d15-1fe7-4ead-8ff4-b4d3a576ce25,Brooklyn Nets,Chicago Bulls,2023-11-26,20:30
